SBTI_389,Forbes_280,FALSE
SBTI_399,Forbes_806,FALSE
SBTI_460,Forbes_48,FALSE
SBTI_684,Forbes_75,FALSE
SBTI_715,Forbes_413,FALSE
SBTI_787,Forbes_75,FALSE
SBTI_905,Forbes_404,TRUE
SBTI_1153,Forbes_901,FALSE
SBTI_2234,Forbes_1021,FALSE
SBTI_3408,Forbes_565,FALSE
SBTI_3427,Forbes_1311,TRUE
SBTI_3784,Forbes_337,FALSE
SBTI_3834,Forbes_1711,FALSE
SBTI_371,Forbes_188,TRUE
SBTI_183,Forbes_1067,TRUE
SBTI_3102,Forbes_531,TRUE
SBTI_5947,Forbes_1878,FALSE
SBTI_2873,Forbes_400,TRUE
SBTI_4636,Forbes_1290,TRUE
SBTI_4782,Forbes_261,TRUE
SBTI_4945,Forbes_1711,FALSE
SBTI_1575,Forbes_883,FALSE
SBTI_3606,Forbes_1403,TRUE
SBTI_4232,Forbes_1698,TRUE
SBTI_1429,Forbes_231,FALSE
SBTI_2643,Forbes_732,TRUE
SBTI_1434,Forbes_66,TRUE
SBTI_3033,Forbes_1991,TRUE
SBTI_3402,Forbes_565,FALSE
SBTI_3782,Forbes_1718,FALSE
SBTI_4546,Forbes_599,TRUE
SBTI_5506,Forbes_178,TRUE
SBTI_5788,Forbes_704,TRUE
SBTI_6157,Forbes_521,TRUE
SBTI_5879,Forbes_25,TRUE
SBTI_5881,Forbes_275,TRUE
SBTI_109,Forbes_1454,TRUE
SBTI_983,Forbes_1164,FALSE
SBTI_2668,Forbes_183,FALSE
SBTI_5571,Forbes_703,TRUE
SBTI_5957,Forbes_1546,TRUE
SBTI_6150,Forbes_1601,TRUE
SBTI_85,Forbes_583,TRUE
SBTI_346,Forbes_324,TRUE
SBTI_452,Forbes_462,TRUE
SBTI_774,Forbes_1516,TRUE
SBTI_1008,Forbes_887,TRUE
SBTI_1257,Forbes_1853,TRUE
SBTI_1311,Forbes_42,TRUE
SBTI_1442,Forbes_1924,TRUE
SBTI_1703,Forbes_171,TRUE
SBTI_1759,Forbes_1336,TRUE
SBTI_2077,Forbes_1522,TRUE
SBTI_2185,Forbes_1021,TRUE
SBTI_2956,Forbes_257,TRUE
SBTI_2986,Forbes_329,TRUE
SBTI_2994,Forbes_426,TRUE
SBTI_3123,Forbes_202,TRUE
SBTI_3215,Forbes_333,TRUE
SBTI_3413,Forbes_340,TRUE
SBTI_3789,Forbes_47,TRUE
SBTI_3813,Forbes_1577,TRUE
SBTI_4024,Forbes_757,TRUE
SBTI_4166,Forbes_216,TRUE
SBTI_4419,Forbes_1070,TRUE
SBTI_4612,Forbes_697,TRUE
SBTI_4651,Forbes_99,TRUE
SBTI_4735,Forbes_907,TRUE
SBTI_4872,Forbes_799,TRUE
SBTI_5058,Forbes_610,TRUE
SBTI_5188,Forbes_314,TRUE
SBTI_5298,Forbes_1730,TRUE
SBTI_5401,Forbes_844,TRUE
SBTI_5582,Forbes_1308,TRUE
SBTI_5748,Forbes_1460,TRUE
SBTI_5988,Forbes_821,TRUE
SBTI_6029,Forbes_558,TRUE
